,State,Population_July2021_Percent,Population_Under18_Percent,Population_65_and_Over_Percent,Housing_Unit_Count_July2021,Owner_Occupied_Housing_Unit_Rate_Percent,Median_Value_of_Owner_Occupied_Housing_Unit,Median_Monthly_OwnerOccupied_Cost_w_Mortgage,Median_Monthly_OwnerOccupied_Cost_No_Mortgage,High_School_Grad_Or_Higher_Percent,Bachelor_Or_Higher_Percent,Percent_in_Labor_Force_2016to2020,Median_Household_Income_2020,Per_Capita_Income_2020,Percent_Poverty_2021,Total_Employer_Establishments_2020,Population_per_Square_Mile_2020,Population_per_Square_Mile_2010,Land_Area_in_Square_Miles_2020
0,AL,5039877.0,22.3,17.6,2313642.0,69.2,149600.0,1196.0,367.0,86.9,26.2,57.2,52035.0,28934.0,16.1,100955.0,99.2,94.4,50647.13
1,AK,732673.0,24.5,13.3,327890.0,64.8,275600.0,1937.0,591.0,93.1,30.0,64.2,77790.0,37094.0,10.5,21184.0,1.3,1.2,571022.38
2,AZ,7276316.0,22.2,18.3,3138871.0,65.3,242000.0,1464.0,430.0,87.9,30.3,59.7,61529.0,32340.0,12.8,149829.0,62.9,56.3,113653.42
3,AR,3025891.0,23.2,17.5,1380728.0,65.8,133600.0,1103.0,353.0,87.2,23.8,57.8,49475.0,27724.0,16.3,67586.0,57.9,56.0,51992.85
4,CA,39237836.0,22.4,15.2,14512281.0,55.3,538500.0,2422.0,618.0,83.9,34.7,63.3,78672.0,38576.0,12.3,981369.0,253.7,239.1,155858.33
5,CO,5812069.0,21.4,15.1,2540822.0,66.2,369900.0,1808.0,488.0,92.1,41.6,67.4,75231.0,39545.0,9.7,175965.0,55.7,48.5,103637.06
6,CT,3605597.0,20.2,18.0,1536344.0,66.1,279700.0,2127.0,900.0,90.9,40.0,65.7,79855.0,45668.0,10.1,88060.0,744.7,738.1,4842.37
7,DE,1003384.0,20.8,20.1,457954.0,71.4,258300.0,1591.0,475.0,90.6,32.7,61.6,69110.0,36574.0,11.6,27472.0,508.0,460.8,1948.55
8,DC,670050.0,18.8,12.8,357489.0,42.5,618100.0,2676.0,735.0,91.9,59.8,70.2,90842.0,58659.0,16.5,24083.0,11280.7,9856.5,61.13
9,FL,21781128.0,19.7,21.1,10054457.0,66.2,232000.0,1539.0,513.0,88.5,30.5,58.6,57703.0,32848.0,13.1,591046.0,401.4,350.6,53652.17
10,GA,10799566.0,23.4,14.7,4475274.0,64.0,190200.0,1449.0,435.0,87.9,32.2,62.7,61224.0,32427.0,14.0,244668.0,185.6,168.4,57716.96
11,HI,1441553.0,21.1,19.6,564908.0,60.3,636400.0,2443.0,540.0,92.5,33.6,61.5,83173.0,37013.0,11.2,32627.0,226.6,211.8,6422.48
12,ID,1900923.0,24.7,16.6,775267.0,70.8,235600.0,1312.0,388.0,91.3,28.7,62.8,58915.0,29494.0,11.0,51957.0,22.3,19.0,82645.14
13,IL,12671469.0,22.1,16.6,5440401.0,66.3,202100.0,1709.0,650.0,89.7,35.5,65.1,68428.0,37306.0,12.1,318689.0,230.8,231.1,55513.18
14,IN,6805985.0,23.3,16.4,2950185.0,69.5,148900.0,1155.0,416.0,89.3,27.2,63.7,58235.0,30693.0,12.2,148724.0,189.4,181.0,35826.03
15,IA,3193079.0,23.1,17.7,1426108.0,71.2,153900.0,1279.0,495.0,92.5,29.3,67.0,61836.0,33021.0,11.1,82440.0,57.1,54.5,55853.42
16,KS,2934582.0,24.0,16.7,1284344.0,66.2,157600.0,1400.0,517.0,91.4,33.9,65.9,61091.0,32798.0,11.7,73982.0,35.9,34.9,81758.59
17,KY,4509394.0,22.5,17.1,2008239.0,67.6,147100.0,1191.0,379.0,87.2,25.0,59.1,52238.0,29123.0,16.5,90922.0,114.1,109.9,39491.61
18,LA,4624047.0,23.4,16.5,2093393.0,66.6,168100.0,1310.0,344.0,85.9,24.9,58.7,50800.0,29522.0,19.6,106230.0,107.8,104.9,43210.23
19,ME,1372247.0,18.4,21.7,745334.0,72.9,198000.0,1404.0,500.0,93.2,32.5,62.8,59489.0,33774.0,11.5,41646.0,44.2,43.1,30845.1
20,MD,6165129.0,22.1,16.3,2546344.0,67.1,325400.0,2038.0,633.0,90.6,40.9,66.9,87063.0,43352.0,10.3,139734.0,636.1,594.8,9711.2
21,MA,6984723.0,19.5,17.4,3017901.0,62.5,398800.0,2268.0,829.0,91.1,44.5,67.1,84385.0,45555.0,10.4,179456.0,901.2,839.4,7800.96
22,MI,10050811.0,21.4,18.1,4590528.0,71.7,162600.0,1312.0,495.0,91.3,30.0,61.4,59234.0,32854.0,13.1,221060.0,178.0,174.8,56608.22
23,MN,5707390.0,23.1,16.7,2517248.0,71.9,235700.0,1606.0,548.0,93.4,36.8,69.2,73382.0,38881.0,9.3,150819.0,71.7,66.6,79626.68
24,MS,2949965.0,23.5,16.8,1332050.0,68.8,125500.0,1161.0,358.0,85.3,22.8,56.8,46511.0,25444.0,19.4,58897.0,63.1,63.2,46923.96
25,MO,6168187.0,22.4,17.6,2807604.0,67.1,163600.0,1287.0,449.0,90.6,29.9,62.6,57290.0,31839.0,12.7,150761.0,89.5,87.1,68746.48
26,MT,1104271.0,21.3,19.6,521892.0,68.5,244900.0,1456.0,451.0,94.0,33.1,63.2,56539.0,32463.0,11.9,39505.0,7.4,6.8,145550.36
27,NE,1963692.0,24.6,16.4,854328.0,66.2,164000.0,1412.0,539.0,91.6,32.5,69.0,63015.0,33205.0,10.8,54791.0,25.5,23.8,76817.87
28,NV,3143991.0,22.2,16.5,1305509.0,57.1,290200.0,1574.0,433.0,86.9,25.5,63.0,62043.0,32629.0,14.1,70621.0,28.3,24.6,109860.46
29,NH,1388992.0,18.5,19.3,643981.0,71.2,272300.0,1967.0,812.0,93.3,37.6,67.1,77923.0,41234.0,7.2,38350.0,153.9,147.0,8953.75
30,NJ,9267130.0,21.8,16.9,3780004.0,64.0,343500.0,2476.0,1062.0,90.3,40.7,65.6,85245.0,44153.0,10.2,232761.0,1263.0,1195.5,7354.76
31,NM,2115877.0,22.4,18.5,948110.0,68.0,175700.0,1293.0,360.0,86.5,28.1,56.9,51243.0,27945.0,18.4,43587.0,17.5,17.0,121312.75
32,NY,19835913.0,20.7,17.5,8531063.0,54.1,325000.0,2174.0,781.0,87.2,37.5,62.9,71117.0,40898.0,13.9,537369.0,428.7,411.2,47123.59
33,NC,10551162.0,21.8,17.0,4801712.0,65.7,182100.0,1328.0,402.0,88.5,32.0,61.2,56642.0,31993.0,13.4,240760.0,214.7,196.1,48623.02
34,ND,774948.0,24.0,16.1,374447.0,62.5,199900.0,1457.0,476.0,93.1,30.7,69.1,65315.0,36289.0,11.1,24510.0,11.3,9.7,68995.86
35,OH,11780017.0,22.1,17.8,5269638.0,66.3,151400.0,1286.0,480.0,90.8,28.9,63.0,58116.0,32465.0,13.4,249857.0,288.8,282.3,40858.76
36,OK,3986639.0,24.1,16.2,1762129.0,66.1,142400.0,1246.0,406.0,88.6,26.1,60.5,53840.0,29873.0,15.6,93595.0,57.7,54.7,68596.53
37,OR,4246155.0,20.3,18.6,1837079.0,62.8,336700.0,1741.0,553.0,91.1,34.4,62.5,65667.0,35393.0,12.2,118927.0,44.1,39.9,95995.98
38,PA,12964056.0,20.6,19.0,5770601.0,69.0,187500.0,1505.0,542.0,91.0,32.3,62.7,63627.0,35518.0,12.1,302018.0,290.6,283.9,44742.27
39,RI,1095610.0,19.1,18.1,484902.0,61.6,276600.0,1879.0,745.0,89.2,35.0,64.5,70305.0,37504.0,11.4,28586.0,1061.4,1018.1,1033.89
40,SC,5190705.0,21.5,18.6,2395943.0,70.1,170100.0,1265.0,377.0,88.3,29.0,59.5,54864.0,30727.0,14.6,113383.0,170.3,153.9,30064.28
41,SD,895376.0,24.6,17.5,400780.0,68.0,174600.0,1367.0,495.0,92.2,29.3,67.5,59896.0,31415.0,12.3,27236.0,11.7,10.7,75809.61
42,TN,6975218.0,22.1,17.0,3087963.0,66.5,177600.0,1272.0,389.0,88.2,28.2,61.1,54833.0,30869.0,13.6,140905.0,167.6,153.9,41232.49
43,TX,29527941.0,25.3,13.1,11869072.0,62.3,187200.0,1654.0,526.0,84.4,30.7,64.4,63826.0,32177.0,14.2,618272.0,111.6,96.3,261267.85
44,UT,3337975.0,28.4,11.7,1190107.0,70.5,305400.0,1597.0,437.0,93.0,34.7,68.6,74197.0,30986.0,8.6,86927.0,39.7,33.6,82376.85
45,VT,645570.0,18.1,20.6,336779.0,71.3,230900.0,1630.0,686.0,93.5,39.7,65.3,63477.0,35854.0,10.3,20540.0,69.8,67.9,9217.45
46,VA,8642274.0,21.8,16.3,3652388.0,66.7,282800.0,1822.0,481.0,90.3,39.5,64.0,76398.0,41255.0,10.2,204131.0,218.6,202.6,39482.11
47,WA,7738692.0,21.7,16.2,3257185.0,63.3,366800.0,1939.0,605.0,91.7,36.7,63.7,77006.0,40837.0,9.9,194967.0,115.9,101.2,66455.12
48,WV,1782959.0,20.1,20.7,858481.0,73.7,123200.0,1058.0,331.0,87.6,21.3,53.6,48037.0,27346.0,16.8,35323.0,74.6,77.1,24041.15
49,WI,5895908.0,21.6,17.9,2748940.0,67.1,189200.0,1436.0,556.0,92.6,30.8,66.1,63293.0,34450.0,10.8,141326.0,108.8,105.0,54167.14
50,WY,578803.0,22.9,17.9,274371.0,71.0,228000.0,1474.0,429.0,93.6,28.2,65.1,65304.0,34415.0,11.4,21770.0,5.9,5.8,97088.76
